17.923;59.415;34.2;31;40;751;289;1044;12
17.923;59.452;35;35;35;944;944;944;7.89473684210526
17.923;59.455;30;30;30;523;523;523;7.89473684210526
17.924;59.286;26.2;26;27;305;305;305;5.45454545454546
17.924;59.334;34;31;44;959.6;227;1196;10.7142857142857
17.924;59.372;37.2;37;38;1361.2;585;1768;20
17.924;59.386;24;24;24;408;408;408;12
17.924;59.413;34.4;32;41;543.6;288;824;12
17.926;59.414;32;32;32;863;863;863;6.66666666666667
17.927;59.413;33;33;33;956;956;956;7.5
17.928;59.343;26.8;26;27;515;515;515;7.89473684210526
17.928;59.428;39.4;38;42;1156.4;638;1502;20
17.929;59.291;35.6;31;43;593.2;367;740;14.2857142857143
17.929;59.339;30.6;28;41;734.4;695;892;9.67741935483871
17.929;59.412;36;34;38;671;477;1070;15.7894736842105
17.932;59.339;27;27;27;632;632;632;30
17.932;59.376;24;24;24;693;693;693;6.38297872340426
17.934;59.341;27.6;25;38;474.4;435;632;9.67741935483871
17.934;59.376;23;23;23;622;622;622;6.38297872340426
17.934;59.378;24;24;24;737;737;737;6.38297872340426
17.935;59.413;44.6;42;49;1553.4;1194;1783;15
17.935;59.432;33;33;33;1170;1170;1170;7.89473684210526
17.935;59.449;33;31;37;483.2;194;676;20
17.937;59.334;32;32;32;962;962;962;27.2727272727273
17.937;59.341;27;27;27;496;496;496;30
17.938;59.402;24;24;24;429;429;429;12
17.938;59.408;34;27;44;491.166666666667;124;793;12
17.938;59.419;36.4;35;37;510.4;389;559;18.75
17.938;59.442;29;29;29;579;579;579;10
17.939;59.403;25;25;25;573;573;573;6.66666666666667
17.939;59.404;28;28;28;725;725;725;12
17.939;59.408;32.2;27;45;561.4;156;799;12
17.939;59.414;42.6;39;45;1115.8;920;1839;23.0769230769231
17.940;59.336;22;22;22;253;253;253;6.52173913043478
17.940;59.337;23;23;23;281;281;281;30
17.940;59.400;27;27;27;521;521;521;12
17.940;59.404;27;27;27;639;639;639;6.66666666666667
17.940;59.416;39.4;36;47;750.6;320;1788;10.7142857142857
17.940;59.431;33.6667;29;44;618;308;773;6
17.941;59.327;37;35;39;1064.8;712;1594;21.4285714285714
17.941;59.400;24;24;24;421;421;421;6.66666666666667
17.941;59.431;28.8333;28;32;559.166666666667;236;717;16.3636363636364
17.941;59.459;39.8;39;40;318;318;318;2
17.942;59.299;32.2;30;41;548.8;256;622;60
17.942;59.334;27;27;27;635;635;635;7.89473684210526
17.942;59.340;27.2;25;36;471.2;448;477;9.67741935483871
