2234723;2017-01-10;Ekuddsvägen 3;Ekudden;18.14597;59.30536;1.5;10;38;2490000;520000;3010000;2599;894;;Lägenhet;BOSTHLM;1499;Broker
2229825;2017-01-10;Skördegatan 4;Rissne/Ursvik;17.94540942;59.38511586;2;3;52.2;2195000;405000;2600000;3195;;2013;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2230300;2017-01-10;Olshammarsgatan 73;Bandhagen;18.00999135;59.25965484;2;3;57;1650000;300000;1950000;3574;7722;1960;Lägenhet;SkandiaMäklarna;1570;Broker
2234221;2017-01-10;Hannebergsgatan 16;Solna Centrum;18.00475717;59.35760849;1;3;27;1695000;690000;2385000;1617;3213;;Lägenhet;Svenska Mäklarhuset;58;Broker
2221504;2017-01-10;Beckomberga Ängsväg 20;Bromma;17.89885283;59.35666793;4;2;91;4395000;0;4395000;4730;;;Lägenhet;Svenska Mäklarhuset;58;Broker
2238478;2017-01-10;Hannebergsgatan 16;Centrum Solna;18.00475717;59.35760849;1;4;27;1695000;655000;2350000;1617;3213;1951;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2217844;2017-01-10;Wittes väg 4A;Älta;18.18753421;59.25973908;5;;140;6250000;380000;6630000;;3816;1982;Villa;Svensk Fastighetsförmedling;713;Broker
2214917;2017-01-10;Husarviksgatan 16;Norra Djurgårdsstaden;18.08888263;59.35933753;1;;38.5;3525000;0;3525000;2114;573;2014;Radhus;Fastighetsbyrån;1573;Broker
2207189;2017-01-10;Henriksdalsallén 24A;Hammarby Sjöstad;18.10467482;59.31060368;2;4;52;3350000;440000;3790000;3113;536;2012;Lägenhet;Fastighetsbyrån;1573;Broker
2234658;2017-01-10;Nathorstvägen 29;Johanneshov;18.09117317;59.29640198;2;2;42;2295000;955000;3250000;2566;2175;1938;Lägenhet;Mäklarhuset;204;Broker
2078016;2017-01-10;Love Almqvists väg 10;Kungsholmen;17.99998259;59.33470591;3;5;81;6000000;-100000;5900000;4195;4062;1932;Lägenhet;Fastighetsbyrån;1573;Broker
2234252;2017-01-10;Ladugårdsgatan 10;Ursvik;17.94392305;59.38429758;1;3;31.5;2095000;0;2095000;2135;;2016;Lägenhet;Fastighetsbyrån;1573;Broker
2232955;2017-01-10;Kungsholmsgatan 38;Kungsholmen;18.04136395;59.33210044;1;2;32;2895000;905000;3800000;1212;1685;;Lägenhet;Svenska Mäklarhuset;58;Broker
2232967;2017-01-10;Solnavägen 55;Råsunda;17.99496174;59.36445405;2;1;40;2350000;460000;2810000;1724;3064;1938;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2228524;2017-01-10;Schlytersvägen 64;Aspudden;17.99948731;59.30672834;1;3;28;1995000;825000;2820000;1646;4524;1938;Lägenhet;BOSTHLM;1499;Broker
2232729;2017-01-10;Rörstrandsgatan 60;Birkastan Vasastan;18.02655614;59.34276867;3;2;86;7500000;1000000;8500000;3533;2920;1909;Lägenhet;HusmanHagberg;1610;Broker
2238392;2017-01-10;Döbelnsgatan 4;Norrmalm;18.0629;59.3396;3;5;76;5450000;700000;6150000;3737;1144;1959;Lägenhet;Notar;1566;Broker
2224331;2017-01-10;Godtemplarvägen 7;Saltsjö-Boo;18.23651867;59.30249751;4;1;93;4695000;-95000;4600000;4402;268;;Lägenhet;Notar;1566;Broker
2236132;2017-01-10;Örsvängen 9;Ör;17.9771193;59.37549701;3;6;74;2495000;505000;3000000;3480;2741;1965;Lägenhet;Fastighetsbyrån;1573;Broker
2210835;2017-01-10;Norr Mälarstrand 62;Kungsholmen;18.034864;59.3279001;1;0.5;59;4310000;0;4310000;3172;2017;1931;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2235407;2017-01-11;Garvargatan 22;Kungsholmen;18.04142189;59.32857513;2;4;44;3495000;655000;4150000;2334;1642;1931;Lägenhet;Bjurfors;1561;Broker
2227055;2017-01-11;Pilgrimsvägen 54C;Hägersten;18.00162435;59.30540125;1;;24;1795000;605000;2400000;1565;4470;;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2234408;2017-01-11;Tavastgatan 15;Södermalm;18.0625;59.31983;1;4;24;2495000;705000;3200000;1734;648;1942;Lägenhet;Svensk Fastighetsförmedling;713;Broker
2230754;2017-01-11;Lundagatan 1C;Huvudsta;18.00422133;59.35351887;3;3;80.5;3795000;805000;4600000;4738;3532;2008;Lägenhet;Svensk Fastighetsförmedling;713;Broker
2228142;2017-01-11;Lidköpingsvägen 62;Hammarbyhöjden;18.10631;59.29166;3;1;60;3195000;515000;3710000;2993;2118;1944;Lägenhet;Svensk Fastighetsförmedling;713;Broker
